UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,19,4346528,2219772,2126756,1629738,1550508,330051,323607,33252,31953,125401,122848,5978,5893,95352,91947,1716401,1634149,378240,370481,55990,53843,160604,156353,13178,12903,1692563,1622971,1170505,1111332,303299,298335,18068,17498,120121,117910,4278,4073,76292,73823,1239959,1178690,342457,336691,33346,32254,149881,146249,9729,9394,527209,503785,459233,439176,26752,25272,15184,14455,5280,4938,1700,1820,19060,18124,476442,455459,35783,33790,22644,21589,10723,10104,3449,3509
R,7,2020,20,4347678,2220260,2127418,1629353,1548480,334910,328666,33745,32195,123645,122021,6135,5798,92472,90258,1713476,1630151,381586,375005,56665,54459,157009,154360,13126,12669,1698816,1630281,1174654,1115388,308625,303475,18547,17750,118442,117094,4382,4121,74166,72453,1242262,1181109,346643,341288,34026,32912,146742,144353,9750,9358,521444,497137,454699,433092,26285,25191,15198,14445,5203,4927,1753,1677,18306,17805,471214,449042,34943,33717,22639,21547,10267,10007,3376,3311
R,7,2020,21,4277571,2183005,2094566,1605652,1528468,326894,321672,32583,31647,121882,120022,6077,5611,89917,87146,1687249,1607335,371932,366026,55098,53759,154332,150989,13240,12326,1677570,1610866,1164845,1106951,301320,297160,18082,17577,116735,115138,4318,4017,72270,70023,1230565,1170435,338109,333541,33555,32829,144178,141131,9834,9187,505435,483700,440807,421517,25574,24512,14501,14070,5147,4884,1759,1594,17647,17123,456684,436900,33823,32485,21543,20930,10154,9858,3406,3139
R,7,2020,22,4267976,2175957,2092019,1595965,1521845,327742,322701,32461,31648,127078,125563,6057,5695,86654,84567,1674326,1598449,370850,365306,54662,53433,158128,155476,12824,12150,1678337,1616171,1161412,1106601,302888,298829,17902,17758,122100,120732,4393,4083,69642,68168,1224499,1168492,338139,333740,33154,32915,148380,146041,9652,9067,497620,475848,434553,415244,24854,23872,14559,13890,4978,4831,1664,1612,17012,16399,449827,429957,32711,31566,21508,20518,9748,9435,3172,3083
R,7,2020,23,4275442,2176391,2099051,1594431,1526165,325881,321997,32211,31075,133845,131654,6081,5647,83942,82513,1670358,1600513,366910,363009,54461,53108,164137,160921,12735,12193,1683079,1627574,1163770,1114316,301358,298742,17719,17376,128895,126923,4388,4088,66949,66129,1224477,1173949,334476,332135,32942,32637,154483,151658,9510,9148,493312,471477,430661,411849,24523,23255,14492,13699,4950,4731,1693,1559,16993,16384,445881,426564,32434,30874,21519,20471,9654,9263,3225,3045
R,7,2020,24,4304958,2193054,2111904,1606913,1534320,325220,322804,32184,30819,140344,138075,6243,5907,82150,79979,1681093,1606362,364716,361886,54608,52759,170072,166780,12819,12388,1702476,1642307,1177846,1123538,301125,299811,17852,17224,135538,133311,4510,4254,65605,64169,1237176,1181424,333062,331566,33257,32483,160740,157605,9635,9358,490578,469597,429067,410782,24095,22993,14332,13595,4806,4764,1733,1653,16545,15810,443917,424938,31654,30320,21351,20276,9332,9175,3184,3030
R,7,2020,25,4383604,2231510,2152094,1627464,1556446,340748,336856,32536,31510,144093,142592,6434,6220,80235,78470,1699350,1626586,378717,375018,55300,53543,173185,170722,13219,12814,1737775,1679435,1195366,1143073,316204,313270,18269,17675,139136,137873,4694,4520,64106,63024,1252789,1199469,346811,344218,34174,33253,163905,161702,9974,9721,493735,472659,432098,413373,24544,23586,14267,13835,4957,4719,1740,1700,16129,15446,446561,427117,31906,30800,21126,20290,9280,9020,3245,3093
R,7,2020,26,4477866,2278905,2198961,1654329,1580998,357251,352885,33180,32413,149677,148721,6485,6397,77983,77547,1723822,1650024,393227,389816,56062,55101,178315,176556,13381,13046,1779273,1722454,1216289,1164223,332284,328932,18930,18386,144883,143947,4776,4709,62111,62257,1271609,1219636,361154,358869,34934,34521,169191,167568,10174,9923,499632,476507,438040,416775,24967,23953,14250,14027,4794,4774,1709,1688,15872,15290,452213,430388,32073,30947,21128,20580,9124,8988,3207,3123
R,7,2020,27,4552156,2314769,2237387,1676456,1604306,368899,362901,34483,33215,153304,155774,6727,6460,74900,74731,1742965,1670571,402690,397699,57074,55832,181108,182800,13430,13041,1811400,1760070,1235245,1186418,343371,338935,19613,19159,148569,150971,4904,4743,59698,59844,1288255,1239481,370330,366851,35443,35227,172364,174052,10221,9928,503369,477317,441211,417888,25528,23966,14870,14056,4735,4803,1823,1717,15202,14887,454710,431090,32360,30848,21631,20605,8744,8748,3209,3113
R,7,2020,28,4658360,2361524,2296836,1712162,1645427,373921,372399,35757,33827,159333,164298,6965,6608,73386,74277,1776896,1710810,405670,405982,58631,56366,187109,192187,13811,13436,1851431,1814466,1265535,1224134,348006,347112,20354,19744,154450,159288,5004,4873,58082,59315,1316709,1276360,372873,373815,36389,35753,178215,183084,10442,10187,510093,482370,446627,421293,25915,25287,15403,14083,4883,5010,1961,1735,15304,14962,460187,434450,32797,32167,22242,20613,8894,9103,3369,3249
